b,lmax,fitness_difference
0.00001,0.8917835671342684,6.35324094444556e-8
0.00001,0.8937875751503005,6.352884164562145e-8
0.00001,0.8957915831663326,6.352527294473109e-8
0.00001,0.8977955911823646,6.352170350831798e-8
0.00001,0.8997995991983967,6.351813318372646e-8
0.00001,0.9018036072144288,6.351456204034545e-8
0.00001,0.9038076152304608,6.351099011980832e-8
0.00001,0.9058116232464929,6.35074172833372e-8
0.00001,0.907815631262525,6.350384365583217e-8
0.00001,0.909819639278557,6.350026922341545e-8
0.00001,0.9118236472945891,6.34966939166981e-8
0.00001,0.9138276553106212,6.349311779119127e-8
0.00001,0.9158316633266532,6.348954081913938e-8
0.00001,0.9178356713426853,6.348596308380916e-8
0.00001,0.9198396793587174,6.348238441866716e-8
0.00001,0.9218436873747494,6.347880500412462e-8
0.00001,0.9238476953907815,6.347522471528144e-8
0.00001,0.9258517034068136,6.347164356601542e-8
0.00001,0.9278557114228456,6.346806165347108e-8
0.00001,0.9298597194388777,6.346447885274831e-8
0.00001,0.9318637274549098,6.346089521935827e-8
0.00001,0.9338677354709418,6.345731076717875e-8
0.00001,0.9358717434869739,6.345372549620976e-8
0.00001,0.937875751503006,6.345013942032907e-8
0.00001,0.939879759519038,6.344655245626996e-8
0.00001,0.9418837675350701,6.344296467342136e-8
0.00001,0.9438877755511021,6.343937608566108e-8
0.00001,0.9458917835671342,6.343578662360017e-8
0.00001,0.9478957915831663,6.343219632887198e-8
0.00001,0.9498997995991983,6.342860525698768e-8
0.00001,0.9519038076152304,6.342501329692496e-8
0.00001,0.9539078156312625,6.342142049031718e-8
0.00001,0.9559118236472945,6.341782687879771e-8
0.00001,0.9579158316633266,6.341423244848876e-8
0.00001,0.9599198396793587,6.341063714387918e-8
0.00001,0.9619238476953907,6.340704104823569e-8
0.00001,0.9639278557114228,6.340344407829157e-8
0.00001,0.9659318637274549,6.339984623404682e-8
0.00001,0.9679358717434869,6.339624761264595e-8
0.00001,0.969939879759519,6.33926481724556e-8
0.00001,0.9719438877755511,6.338904789959798e-8
0.00001,0.9739478957915831,6.338544672468416e-8
0.00001,0.9759519038076151,6.338184477261422e-8
0.00001,0.9779559118236472,6.337824197399922e-8
0.00001,0.9799599198396792,6.337463830108359e-8
0.00001,0.9819639278557113,6.337103380937847e-8
0.00001,0.9839679358717434,6.336742852663946e-8
0.00001,0.9859719438877754,6.336382235572202e-8
0.00001,0.9879759519038075,6.336021533825953e-8
0.00001,0.9899799599198396,6.335660752976313e-8
0.00001,0.9919839679358716,6.335299886084389e-8
0.00001,0.9939879759519037,6.334938934537959e-8
0.00001,0.9959919839679358,6.33457790250036e-8
0.00001,0.9979959919839678,6.334216784420477e-8
0.00001,0.9999999999999999,6.33383754888861e-8
0.00021038076152304612,0.0,1.3733664793458278e-6
0.00021038076152304612,0.002004008016032064,1.3732985039704992e-6
0.00021038076152304612,0.004008016032064128,1.3732305123165256e-6
0.00021038076152304612,0.0060120240480961915,1.3731625042173734e-6
0.00021038076152304612,0.008016032064128256,1.373094479853454e-6
0.00021038076152304612,0.01002004008016032,1.3730264390721114e-6
0.00021038076152304612,0.012024048096192383,1.372958381873346e-6
0.00021038076152304612,0.014028056112224447,1.3728903083404242e-6
0.00021038076152304612,0.01603206412825651,1.3728222184039574e-6
0.00021038076152304612,0.018036072144288574,1.3727541121333342e-6
0.00021038076152304612,0.02004008016032064,1.3726859894869214e-6
0.00021038076152304612,0.022044088176352703,1.3726178504230857e-6
0.00021038076152304612,0.024048096192384766,1.3725496949695826e-6
0.00021038076152304612,0.026052104208416832,1.372481523126412e-6
0.00021038076152304612,0.028056112224448895,1.372413334893574e-6
0.00021038076152304612,0.03006012024048096,1.3723451302849465e-6
0.00021038076152304612,0.03206412825651302,1.372276909258896e-6
0.00021038076152304612,0.03406813627254509,1.372208671787667e-6
0.00021038076152304612,0.03607214428857715,1.3721404179961594e-6
0.00021038076152304612,0.038076152304609215,1.3720721476900843e-6
0.00021038076152304612,0.04008016032064128,1.372003861049853e-6
0.00021038076152304612,0.04208416833667334,1.3719355579644432e-6
